,volcano,hazard,VEI,prob,mass,buffer,volume,pop_count,area_crops,area_urban
0,Gede-Pangrango,BAF,,50.0,,300,450000,0.0,0.0,0.0
0,Gede-Pangrango,BAF,,90.0,,300,450000,0.0,0.0,0.0
0,Gede-Pangrango,BAF,,10.0,,990,450000,0.0,0.0405,0.0
0,Gede-Pangrango,BAF,,50.0,,990,450000,0.0,0.0,0.0
0,Gede-Pangrango,BAF,,90.0,,990,450000,0.0,0.0,0.0
0,Gede-Pangrango,PDC,3,10.0,,,,1669300.9011,485.0685,296.0064
0,Gede-Pangrango,PDC,3,50.0,,,,344571.78060000006,104.8221,84.3534
0,Gede-Pangrango,PDC,3,90.0,,,,81230.202,13.0329,15.2604
0,Gede-Pangrango,PDC,4,10.0,,,,2438691.1541999998,659.9556,384.0858
0,Gede-Pangrango,PDC,4,50.0,,,,732047.5926,163.3932,130.7664
0,Gede-Pangrango,PDC,4,90.0,,,,172839.3795,29.5488,34.182
0,Gede-Pangrango,PDC,5,10.0,,,,3557784.0114000007,838.3257,532.5345
0,Gede-Pangrango,PDC,5,50.0,,,,1070673.4953,244.8144,187.2882
0,Gede-Pangrango,PDC,5,90.0,,,,264541.9338,76.6665,66.1851
0,Gede-Pangrango,LC,3,10.0,,,,0.0,0.0081,0.0
0,Gede-Pangrango,LC,3,50.0,,,,0.0,0.0,0.0
0,Gede-Pangrango,LC,3,90.0,,,,0.0,0.0,0.0
0,Gede-Pangrango,LC,4,10.0,,,,48.114000000000004,0.162,0.0
0,Gede-Pangrango,LC,4,50.0,,,,0.0,0.0405,0.0
0,Gede-Pangrango,LC,4,90.0,,,,0.0,0.0405,0.0
0,Gede-Pangrango,LC,5,10.0,,,,215689.9104,48.7863,47.6766
0,Gede-Pangrango,LC,5,50.0,,,,198192.7845,37.8756,41.6988
0,Gede-Pangrango,LC,5,90.0,,,,167045.3847,28.6497,33.6717
0,Guntur,Tephra,3,10.0,1,,,679212.3537000001,185.5386,90.3798
0,Guntur,Tephra,3,10.0,5,,,191639.2527,77.1282,34.5708
0,Guntur,Tephra,3,10.0,50,,,18711.0648,13.4622,5.8563
0,Guntur,Tephra,3,10.0,100,,,5421.0141,3.969,1.3932
0,Guntur,Tephra,3,50.0,1,,,396377.75250000006,129.2274,63.5202
0,Guntur,Tephra,3,50.0,5,,,152372.1051,51.8967,26.487
0,Guntur,Tephra,3,50.0,50,,,10068.364800000001,7.0227,3.2481
0,Guntur,Tephra,3,50.0,100,,,3783.7611,2.5029,0.4212
0,Guntur,Tephra,3,90.0,1,,,259476.54210000002,97.8966,45.8379
0,Guntur,Tephra,3,90.0,5,,,133242.5619,41.5206,21.9672
0,Guntur,Tephra,3,90.0,50,,,8127.418500000001,5.7348,2.6163
0,Guntur,Tephra,3,90.0,100,,,3281.715,2.106,0.243
0,Guntur,Tephra,4,10.0,1,,,6716471.8698,787.9437,558.8595
0,Guntur,Tephra,4,10.0,5,,,2427738.1154999994,455.0661,257.6934
0,Guntur,Tephra,4,10.0,50,,,376803.7137000001,154.4913,62.0136
0,Guntur,Tephra,4,10.0,100,,,189861.5214,106.3692,34.1901
0,Guntur,Tephra,4,50.0,1,,,3578772.747600001,569.7864,351.8397
0,Guntur,Tephra,4,50.0,5,,,1367320.2732000004,320.2983,169.614
0,Guntur,Tephra,4,50.0,50,,,216211.93110000002,114.7608,38.4264
0,Guntur,Tephra,4,50.0,100,,,88413.93,57.5181,17.2935
0,Guntur,Tephra,4,90.0,1,,,2863229.0751000005,483.2622,286.1973
0,Guntur,Tephra,4,90.0,5,,,948974.8185,265.8825,131.2038
0,Guntur,Tephra,4,90.0,50,,,173766.0681,91.3275,30.7638
0,Guntur,Tephra,4,90.0,100,,,41870.1474,36.8307,11.1132
0,Guntur,Tephra,5,10.0,1,,,19375667.29710002,3574.1007,1938.2085
0,Guntur,Tephra,5,10.0,5,,,13286303.664300002,2028.5802,1077.5268
0,Guntur,Tephra,5,10.0,50,,,3306635.7272999985,567.0162,317.8926
0,Guntur,Tephra,5,10.0,100,,,1953922.1273999996,388.5165,214.1397
0,Guntur,Tephra,5,50.0,1,,,14974028.639100006,2486.1006,1341.3276
0,Guntur,Tephra,5,50.0,5,,,9900756.295199994,1423.9071,803.0664
0,Guntur,Tephra,5,50.0,50,,,1932947.1531000002,382.563,210.3651
0,Guntur,Tephra,5,50.0,100,,,879950.7981,267.5268,122.8284
0,Guntur,Tephra,5,90.0,1,,,13718234.860200003,2172.3228,1186.7715
0,Guntur,Tephra,5,90.0,5,,,7302996.676799999,1059.9984,536.0661
0,Guntur,Tephra,5,90.0,50,,,1284258.2157000005,307.5489,158.112
0,Guntur,Tephra,5,90.0,100,,,532226.6514000001,222.9201,85.5036
0,Guntur,BAF,,10.0,,300,9800000,4621.365900000001,1.5147,1.0611
0,Guntur,BAF,,50.0,,300,9800000,3428.3331000000003,0.972,0.9315
0,Guntur,BAF,,90.0,,300,9800000,1075.8096,0.3321,0.2187
0,Guntur,BAF,,10.0,,990,9800000,14435.001900000001,3.4992,3.0051
0,Guntur,BAF,,50.0,,990,9800000,10947.3525,2.6892,2.592
0,Guntur,BAF,,90.0,,990,9800000,4418.007300000001,1.4337,1.1907
0,Guntur,BAF,,10.0,,300,450000,220.9275,0.0162,0.0
0,Guntur,BAF,,50.0,,300,450000,93.79800000000002,0.0,0.0
0,Guntur,BAF,,90.0,,300,450000,0.0,0.0,0.0
0,Guntur,BAF,,10.0,,990,450000,1130.9382,0.2511,0.0
0,Guntur,BAF,,50.0,,990,450000,732.4587,0.0324,0.0
0,Guntur,BAF,,90.0,,990,450000,77.46030000000002,0.0,0.0
0,Guntur,PDC,3,10.0,,,,1614069.1152,370.5345,182.5416
0,Guntur,PDC,3,50.0,,,,415711.9017,80.1414,45.7893
0,Guntur,PDC,3,90.0,,,,107249.9859,23.2065,16.5159
0,Guntur,PDC,4,10.0,,,,2091433.3569,484.5663,235.4184
0,Guntur,PDC,4,50.0,,,,621079.2045000001,175.8267,83.1708
0,Guntur,PDC,4,90.0,,,,300544.1739,60.9687,37.0656
0,Guntur,PDC,5,10.0,,,,2799029.439,612.3357,313.8912
0,Guntur,PDC,5,50.0,,,,988037.9676000001,256.77,125.2098
0,Guntur,PDC,5,90.0,,,,477605.7189000001,100.5777,53.703
0,Guntur,LC,3,10.0,,,,59.40540000000001,0.0324,0.0
0,Guntur,LC,3,50.0,,,,0.0,0.0081,0.0
0,Guntur,LC,3,90.0,,,,0.0,0.0,0.0
0,Guntur,LC,4,10.0,,,,6836.651100000001,5.0382,1.7658
0,Guntur,LC,4,50.0,,,,3238.137,2.7297,0.3564
0,Guntur,LC,4,90.0,,,,724.9176,1.6119,0.0
0,Guntur,LC,5,10.0,,,,544007.3886000001,138.3804,69.3522
0,Guntur,LC,5,50.0,,,,508590.54360000003,119.1429,62.3376
0,Guntur,LC,5,90.0,,,,456253.6410000001,100.2213,53.784
0,Kelut,Tephra,3,10.0,1,,,588476.8665,261.1845,118.665
0,Kelut,Tephra,3,10.0,5,,,108927.95760000001,54.6507,23.2227
